category,lidar_recall,radar_recall,fusion_recall,num_boxes
animal,0.5,0.0,0.5,4.0
human.pedestrian.adult,1.0,0.3582089552238806,1.0,67.0
human.pedestrian.child,1.0,1.0,1.0,8.0
human.pedestrian.construction_worker,1.0,1.0,1.0,2.0
human.pedestrian.stroller,1.0,1.0,1.0,4.0
movable_object.barrier,0.6666666666666666,0.0,0.6666666666666666,3.0
movable_object.trafficcone,0.5,0.10714285714285714,0.5,28.0
static_object.traffic_sign,0.9567723342939481,0.2478386167146974,0.9596541786743515,347.0
vehicle.bicycle,0.8181818181818182,0.2727272727272727,0.8181818181818182,22.0
vehicle.bus.rigid,1.0,1.0,1.0,10.0
vehicle.car,0.6781193490054249,0.4050632911392405,0.7305605786618445,553.0
vehicle.construction,1.0,1.0,1.0,6.0
vehicle.ego_trailer,1.0,1.0,1.0,16.0
vehicle.motorcycle,0.3333333333333333,0.16666666666666666,0.5,6.0
vehicle.other,1.0,1.0,1.0,4.0
vehicle.trailer,0.8703703703703703,0.9074074074074074,0.9629629629629629,54.0
vehicle.truck,0.7934782608695652,0.6739130434782609,0.8260869565217391,92.0
