sample_token,n_lidar,n_radar,lidar_points,radar_points,box_count,max_distance,view_paths,interactive_3d_path,camera_images,lidar_files,radar_files,camera_config_path,output_structure,scene_name
80ad351eb99e4b28bfbec1105b6ac8eb,6,6,226751,3463,31,50.0,"{'side_view': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\visualizations\\side_view.png', 'front_view': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\visualizations\\front_view.png', 'top_view': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\visualizations\\top_view.png'}",D:\MyProjects\AV4\output\scene_night_highway\80ad351eb99e4b28bfbec1105b6ac8eb\visualizations\interactive_3d.html,"{'CAMERA_LEFT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\front_left_camera.jpg', 'CAMERA_RIGHT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\front_right_camera.jpg', 'CAMERA_LEFT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\back_left_camera.jpg', 'CAMERA_RIGHT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\back_right_camera.jpg'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\data\\merged_lidar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\data\\merged_lidar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\data\\merged_lidar.csv'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\data\\merged_radar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\data\\merged_radar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\data\\merged_radar.csv'}",D:\MyProjects\AV4\output\scene_night_highway\80ad351eb99e4b28bfbec1105b6ac8eb\visualizations\camera_config.json,"{'visualizations': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\visualizations', 'data': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb\\data', 'main': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\80ad351eb99e4b28bfbec1105b6ac8eb'}",scene_night_highway
85c5ca01cfb34d3e92d1c0c265235d04,6,6,223309,3504,31,50.0,"{'side_view': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\visualizations\\side_view.png', 'front_view': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\visualizations\\front_view.png', 'top_view': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\visualizations\\top_view.png'}",D:\MyProjects\AV4\output\scene_night_highway\85c5ca01cfb34d3e92d1c0c265235d04\visualizations\interactive_3d.html,"{'CAMERA_LEFT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\front_left_camera.jpg', 'CAMERA_RIGHT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\front_right_camera.jpg', 'CAMERA_LEFT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\back_left_camera.jpg', 'CAMERA_RIGHT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\back_right_camera.jpg'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\data\\merged_lidar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\data\\merged_lidar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\data\\merged_lidar.csv'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\data\\merged_radar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\data\\merged_radar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\data\\merged_radar.csv'}",D:\MyProjects\AV4\output\scene_night_highway\85c5ca01cfb34d3e92d1c0c265235d04\visualizations\camera_config.json,"{'visualizations': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\visualizations', 'data': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04\\data', 'main': 'D:\\MyProjects\\AV4\\output\\scene_night_highway\\85c5ca01cfb34d3e92d1c0c265235d04'}",scene_night_highway
e9f4a50a1b0a41a492edf7a4870f594c,6,6,223378,2710,62,50.0,"{'side_view': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\visualizations\\side_view.png', 'front_view': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\visualizations\\front_view.png', 'top_view': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\visualizations\\top_view.png'}",D:\MyProjects\AV4\output\scene_rainy_highway\e9f4a50a1b0a41a492edf7a4870f594c\visualizations\interactive_3d.html,"{'CAMERA_LEFT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\front_left_camera.jpg', 'CAMERA_RIGHT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\front_right_camera.jpg', 'CAMERA_LEFT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\back_left_camera.jpg', 'CAMERA_RIGHT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\back_right_camera.jpg'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\data\\merged_lidar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\data\\merged_lidar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\data\\merged_lidar.csv'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\data\\merged_radar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\data\\merged_radar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\data\\merged_radar.csv'}",D:\MyProjects\AV4\output\scene_rainy_highway\e9f4a50a1b0a41a492edf7a4870f594c\visualizations\camera_config.json,"{'visualizations': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\visualizations', 'data': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c\\data', 'main': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\e9f4a50a1b0a41a492edf7a4870f594c'}",scene_rainy_highway
80587e2bcbc24524967ae3d9ebb2517a,6,6,224432,2675,68,50.0,"{'side_view': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\visualizations\\side_view.png', 'front_view': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\visualizations\\front_view.png', 'top_view': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\visualizations\\top_view.png'}",D:\MyProjects\AV4\output\scene_rainy_highway\80587e2bcbc24524967ae3d9ebb2517a\visualizations\interactive_3d.html,"{'CAMERA_LEFT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\front_left_camera.jpg', 'CAMERA_RIGHT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\front_right_camera.jpg', 'CAMERA_LEFT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\back_left_camera.jpg', 'CAMERA_RIGHT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\back_right_camera.jpg'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\data\\merged_lidar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\data\\merged_lidar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\data\\merged_lidar.csv'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\data\\merged_radar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\data\\merged_radar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\data\\merged_radar.csv'}",D:\MyProjects\AV4\output\scene_rainy_highway\80587e2bcbc24524967ae3d9ebb2517a\visualizations\camera_config.json,"{'visualizations': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\visualizations', 'data': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a\\data', 'main': 'D:\\MyProjects\\AV4\\output\\scene_rainy_highway\\80587e2bcbc24524967ae3d9ebb2517a'}",scene_rainy_highway
1eb6c0c7adad4cf29e8da13dcf8ef16b,6,6,234950,2658,94,50.0,"{'side_view': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\visualizations\\side_view.png', 'front_view': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\visualizations\\front_view.png', 'top_view': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\visualizations\\top_view.png'}",D:\MyProjects\AV4\output\scene_overcast_city\1eb6c0c7adad4cf29e8da13dcf8ef16b\visualizations\interactive_3d.html,"{'CAMERA_LEFT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\front_left_camera.jpg', 'CAMERA_RIGHT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\front_right_camera.jpg', 'CAMERA_LEFT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\back_left_camera.jpg', 'CAMERA_RIGHT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\back_right_camera.jpg'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\data\\merged_lidar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\data\\merged_lidar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\data\\merged_lidar.csv'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\data\\merged_radar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\data\\merged_radar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\data\\merged_radar.csv'}",D:\MyProjects\AV4\output\scene_overcast_city\1eb6c0c7adad4cf29e8da13dcf8ef16b\visualizations\camera_config.json,"{'visualizations': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\visualizations', 'data': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b\\data', 'main': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\1eb6c0c7adad4cf29e8da13dcf8ef16b'}",scene_overcast_city
c47d261c32ec405b836f0b832b776438,6,6,236118,3023,90,50.0,"{'side_view': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\visualizations\\side_view.png', 'front_view': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\visualizations\\front_view.png', 'top_view': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\visualizations\\top_view.png'}",D:\MyProjects\AV4\output\scene_overcast_city\c47d261c32ec405b836f0b832b776438\visualizations\interactive_3d.html,"{'CAMERA_LEFT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\front_left_camera.jpg', 'CAMERA_RIGHT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\front_right_camera.jpg', 'CAMERA_LEFT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\back_left_camera.jpg', 'CAMERA_RIGHT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\back_right_camera.jpg'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\data\\merged_lidar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\data\\merged_lidar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\data\\merged_lidar.csv'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\data\\merged_radar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\data\\merged_radar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\data\\merged_radar.csv'}",D:\MyProjects\AV4\output\scene_overcast_city\c47d261c32ec405b836f0b832b776438\visualizations\camera_config.json,"{'visualizations': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\visualizations', 'data': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438\\data', 'main': 'D:\\MyProjects\\AV4\\output\\scene_overcast_city\\c47d261c32ec405b836f0b832b776438'}",scene_overcast_city
9d75f3c77f384353b5477c981fb46011,6,6,217028,3132,64,50.0,"{'side_view': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\visualizations\\side_view.png', 'front_view': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\visualizations\\front_view.png', 'top_view': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\visualizations\\top_view.png'}",D:\MyProjects\AV4\output\scene_snow_city\9d75f3c77f384353b5477c981fb46011\visualizations\interactive_3d.html,"{'CAMERA_LEFT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\front_left_camera.jpg', 'CAMERA_RIGHT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\front_right_camera.jpg', 'CAMERA_LEFT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\back_left_camera.jpg', 'CAMERA_RIGHT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\back_right_camera.jpg'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\data\\merged_lidar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\data\\merged_lidar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\data\\merged_lidar.csv'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\data\\merged_radar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\data\\merged_radar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\data\\merged_radar.csv'}",D:\MyProjects\AV4\output\scene_snow_city\9d75f3c77f384353b5477c981fb46011\visualizations\camera_config.json,"{'visualizations': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\visualizations', 'data': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011\\data', 'main': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\9d75f3c77f384353b5477c981fb46011'}",scene_snow_city
d61070d1f0eb4ebdbf6a3082758cfd57,6,6,215251,3007,63,50.0,"{'side_view': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\visualizations\\side_view.png', 'front_view': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\visualizations\\front_view.png', 'top_view': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\visualizations\\top_view.png'}",D:\MyProjects\AV4\output\scene_snow_city\d61070d1f0eb4ebdbf6a3082758cfd57\visualizations\interactive_3d.html,"{'CAMERA_LEFT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\front_left_camera.jpg', 'CAMERA_RIGHT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\front_right_camera.jpg', 'CAMERA_LEFT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\back_left_camera.jpg', 'CAMERA_RIGHT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\back_right_camera.jpg'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\data\\merged_lidar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\data\\merged_lidar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\data\\merged_lidar.csv'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\data\\merged_radar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\data\\merged_radar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\data\\merged_radar.csv'}",D:\MyProjects\AV4\output\scene_snow_city\d61070d1f0eb4ebdbf6a3082758cfd57\visualizations\camera_config.json,"{'visualizations': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\visualizations', 'data': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57\\data', 'main': 'D:\\MyProjects\\AV4\\output\\scene_snow_city\\d61070d1f0eb4ebdbf6a3082758cfd57'}",scene_snow_city
32d2bcf46e734dffb14fe2e0a823d059,6,6,238046,4679,36,50.0,"{'side_view': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\visualizations\\side_view.png', 'front_view': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\visualizations\\front_view.png', 'top_view': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\visualizations\\top_view.png'}",D:\MyProjects\AV4\output\scene_terminal_area\32d2bcf46e734dffb14fe2e0a823d059\visualizations\interactive_3d.html,"{'CAMERA_LEFT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\front_left_camera.jpg', 'CAMERA_RIGHT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\front_right_camera.jpg', 'CAMERA_LEFT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\back_left_camera.jpg', 'CAMERA_RIGHT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\back_right_camera.jpg'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\data\\merged_lidar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\data\\merged_lidar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\data\\merged_lidar.csv'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\data\\merged_radar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\data\\merged_radar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\data\\merged_radar.csv'}",D:\MyProjects\AV4\output\scene_terminal_area\32d2bcf46e734dffb14fe2e0a823d059\visualizations\camera_config.json,"{'visualizations': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\visualizations', 'data': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059\\data', 'main': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\32d2bcf46e734dffb14fe2e0a823d059'}",scene_terminal_area
deb7b3f332f042d49e7636d6e4959354,6,6,238586,4578,36,50.0,"{'side_view': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\visualizations\\side_view.png', 'front_view': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\visualizations\\front_view.png', 'top_view': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\visualizations\\top_view.png'}",D:\MyProjects\AV4\output\scene_terminal_area\deb7b3f332f042d49e7636d6e4959354\visualizations\interactive_3d.html,"{'CAMERA_LEFT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\front_left_camera.jpg', 'CAMERA_RIGHT_FRONT': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\front_right_camera.jpg', 'CAMERA_LEFT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\back_left_camera.jpg', 'CAMERA_RIGHT_BACK': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\back_right_camera.jpg'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\data\\merged_lidar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\data\\merged_lidar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\data\\merged_lidar.csv'}","{'txt': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\data\\merged_radar.txt', 'ply': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\data\\merged_radar.ply', 'csv': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\data\\merged_radar.csv'}",D:\MyProjects\AV4\output\scene_terminal_area\deb7b3f332f042d49e7636d6e4959354\visualizations\camera_config.json,"{'visualizations': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\visualizations', 'data': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354\\data', 'main': 'D:\\MyProjects\\AV4\\output\\scene_terminal_area\\deb7b3f332f042d49e7636d6e4959354'}",scene_terminal_area
